Date,Currency,Exchange Rate,USD Equivalent,Percent Change
28/04/1981,U.K. pound,0.0710,2.15600,0.153076
28/04/1981,U.S. dollar,0.5400,1.00000,0.540000
29/04/1981,Deutsche mark,0.4600,2.20410,0.208702
29/04/1981,French franc,0.7400,5.22400,0.141654
29/04/1981,Japanese yen,34.0000,214.50000,0.158508
29/04/1981,U.K. pound,0.0710,2.14250,0.152118
29/04/1981,U.S. dollar,0.5400,1.00000,0.540000
30/04/1981,Deutsche mark,0.4600,2.21450,0.207722
30/04/1981,French franc,0.7400,5.25400,0.140845
30/04/1981,Japanese yen,34.0000,215.13000,0.158044
30/04/1981,U.K. pound,0.0710,2.14040,0.151968
30/04/1981,U.S. dollar,0.5400,1.00000,0.540000
01/05/1981,Deutsche mark,0.4600,2.21500,0.207675
01/05/1981,French franc,0.7400,5.25750,0.140751
01/05/1981,Japanese yen,34.0000,216.15000,0.157298
01/05/1981,U.K. pound,0.0710,2.14020,0.151954
01/05/1981,U.S. dollar,0.5400,1.00000,0.540000
04/05/1981,Deutsche mark,0.4600,2.24400,0.204991
04/05/1981,French franc,0.7400,5.35550,0.138176
04/05/1981,Japanese yen,34.0000,217.05000,0.156646
04/05/1981,U.K. pound,0.0710,2.11800,0.150378
04/05/1981,U.S. dollar,0.5400,1.00000,0.540000
05/05/1981,Deutsche mark,0.4600,2.26920,0.202715
05/05/1981,French franc,0.7400,5.41120,0.136753
05/05/1981,Japanese yen,34.0000,217.90000,0.156035
05/05/1981,U.K. pound,0.0710,2.11200,0.149952
05/05/1981,U.S. dollar,0.5400,1.00000,0.540000
06/05/1981,Deutsche mark,0.4600,2.25720,0.203792
06/05/1981,French franc,0.7400,5.36650,0.137892
06/05/1981,Japanese yen,34.0000,217.00000,0.156682
06/05/1981,U.K. pound,0.0710,2.11800,0.150378
06/05/1981,U.S. dollar,0.5400,1.00000,0.540000
07/05/1981,Deutsche mark,0.4600,2.26510,0.203082
07/05/1981,French franc,0.7400,5.36600,0.137905
07/05/1981,Japanese yen,34.0000,217.34000,0.156437
07/05/1981,U.K. pound,0.0710,2.11120,0.149895
07/05/1981,U.S. dollar,0.5400,1.00000,0.540000
08/05/1981,Deutsche mark,0.4600,2.25120,0.204335
08/05/1981,French franc,0.7400,5.34500,0.138447
08/05/1981,Japanese yen,34.0000,217.47000,0.156343
08/05/1981,U.K. pound,0.0710,2.11550,0.150201
08/05/1981,U.S. dollar,0.5400,1.00000,0.540000
11/05/1981,Deutsche mark,0.4600,2.27100,0.202554
11/05/1981,French franc,0.7400,5.46870,0.135316
11/05/1981,Japanese yen,34.0000,217.75000,0.156142
11/05/1981,U.K. pound,0.0710,2.10900,0.149739
11/05/1981,U.S. dollar,0.5400,1.00000,0.540000
12/05/1981,Deutsche mark,0.4600,2.28670,0.201163
12/05/1981,French franc,0.7400,5.50870,0.134333
12/05/1981,Japanese yen,34.0000,218.67000,0.155485
12/05/1981,U.K. pound,0.0710,2.09430,0.148695
12/05/1981,U.S. dollar,0.5400,1.00000,0.540000
13/05/1981,Deutsche mark,0.4600,2.28630,0.201198
13/05/1981,French franc,0.7400,5.50870,0.134333
13/05/1981,Japanese yen,34.0000,219.32000,0.155025
13/05/1981,U.K. pound,0.0710,2.09250,0.148568
13/05/1981,U.S. dollar,0.5400,1.00000,0.540000
14/05/1981,Deutsche mark,0.4600,2.30650,0.199436
14/05/1981,French franc,0.7400,5.55370,0.133245
14/05/1981,Japanese yen,34.0000,223.12000,0.152384
14/05/1981,U.K. pound,0.0710,2.06780,0.146814
14/05/1981,U.S. dollar,0.5400,1.00000,0.540000
15/05/1981,Deutsche mark,0.4600,2.29400,0.200523
15/05/1981,French franc,0.7400,5.52450,0.133949
15/05/1981,Japanese yen,34.0000,222.55000,0.152775
15/05/1981,U.K. pound,0.0710,2.07750,0.147503
15/05/1981,U.S. dollar,0.5400,1.00000,0.540000
18/05/1981,Deutsche mark,0.4600,2.29030,0.200847
18/05/1981,French franc,0.7400,5.51800,0.134107
18/05/1981,Japanese yen,34.0000,221.25000,0.153672
18/05/1981,U.K. pound,0.0710,2.09440,0.148702
18/05/1981,U.S. dollar,0.5400,1.00000,0.540000
