Date,Currency,Currency Amount,Exchange Rate,USD Equivalent,Year,Month
1981-04-24,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-27,Deutsche mark,0.46,2.175,0.211494,1981,April
1981-04-27,French franc,0.74,5.1572,0.143489,1981,April
1981-04-27,Japanese yen,34.0,211.85,0.160491,1981,April
1981-04-27,U.K. pound,0.071,2.1675,0.153893,1981,April
1981-04-27,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-28,Deutsche mark,0.46,2.1853,0.210497,1981,April
1981-04-28,French franc,0.74,5.1792,0.142879,1981,April
1981-04-28,Japanese yen,34.0,213.15,0.159512,1981,April
1981-04-28,U.K. pound,0.071,2.156,0.153076,1981,April
1981-04-28,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-29,Deutsche mark,0.46,2.2041,0.208702,1981,April
1981-04-29,French franc,0.74,5.224,0.141654,1981,April
1981-04-29,Japanese yen,34.0,214.5,0.158508,1981,April
1981-04-29,U.K. pound,0.071,2.1425,0.152118,1981,April
1981-04-29,U.S. dollar,0.54,1.0,0.54,1981,April
1981-04-30,Deutsche mark,0.46,2.2145,0.207722,1981,April
1981-04-30,French franc,0.74,5.254,0.140845,1981,April
1981-04-30,Japanese yen,34.0,215.13,0.158044,1981,April
1981-04-30,U.K. pound,0.071,2.1404,0.151968,1981,April
1981-04-30,U.S. dollar,0.54,1.0,0.54,1981,April
1981-05-01,Deutsche mark,0.46,2.215,0.207675,1981,May
1981-05-01,French franc,0.74,5.2575,0.140751,1981,May
1981-05-01,Japanese yen,34.0,216.15,0.157298,1981,May
1981-05-01,U.K. pound,0.071,2.1402,0.151954,1981,May
1981-05-01,U.S. dollar,0.54,1.0,0.54,1981,May
1981-05-04,Deutsche mark,0.46,2.244,0.204991,1981,May
1981-05-04,French franc,0.74,5.3555,0.138176,1981,May
1981-05-04,Japanese yen,34.0,217.05,0.156646,1981,May
1981-05-04,U.K. pound,0.071,2.118,0.150378,1981,May
1981-05-04,U.S. dollar,0.54,1.0,0.54,1981,May
