Année,Population,Sexe,Tranche d'âge,Population au premier janvier
1959.0,11604999.0,,,45014662.0
1960.0,11607494.0,,,45464797.0
1961.0,11583492.0,,,45903656.0
1962.0,11544161.0,,,46422000.0
1963.0,11717680.0,,,47573406.0
1964.0,11741932.0,,,48059029.0
1965.0,11759192.0,,,48561800.0
1966.0,11761322.0,,,48953792.0
1967.0,11861765.0,,,49373537.0
1968.0,11980727.0,,,49723072.0
1969.0,12104287.0,,,50107735.0
1970.0,12233857.0,,,50528219.0
1971.0,12372431.0,,,51016234.0
1972.0,12510866.0,,,51485953.0
1973.0,12626089.0,,,51915873.0
1974.0,12737477.0,,,52320725.0
1975.0,12851011.0,,,52600000.0
1976.0,13054992.0,,,52798338.0
1977.0,13316793.0,,,53019005.0
1978.0,13567668.0,,,53271566.0
1979.0,13787955.0,,,53481073.0
1980.0,13996999.0,,,53731387.0
1981.0,14076726.0,,,54028630.0
1982.0,14171009.0,,,54335000.0
1983.0,14272429.0,,,54649984.0
1984.0,14389199.0,,,54894854.0
1985.0,14510588.0,,,55157303.0
1986.0,14617288.0,,,55411238.0
1987.0,14724418.0,,,55681780.0
1988.0,14824533.0,,,55966142.0
1989.0,14924271.0,,,56269810.0
1990.0,15037824.0,,,56577000.0
1991.0,15132054.0,,,56840661.0
1992.0,15247947.0,,,57110533.0
1993.0,15363945.0,,,57369161.0
1994.0,15478714.0,,,57565008.0
1995.0,15553029.0,,,57752535.0
1996.0,15611518.0,,,57935959.0
1997.0,15658485.0,,,58116018.0
1998.0,15724437.0,,,58298962.0
1999.0,15792118.0,,,58496613.0
2000.0,15912877.0,,,58858198.0
2001.0,16078443.0,,,59266572.0
2002.0,16259575.0,,,59685899.0
2003.0,16414471.0,,,60101841.0
2004.0,16532377.0,,,60505421.0
2005.0,16653933.0,,,60963264.0
2006.0,16781404.0,,,61399733.0
2007.0,16797604.0,,,61795238.0
2008.0,16777461.0,,,62134866.0
2009.0,16749232.0,,,62465709.0
2010.0,16707443.0,,,62765235.0
2011.0,16663204.0,,,63070344.0
2012.0,16653128.0,,,63375971.0
2013.0,16619772.0,,,63697865.0
2014.0,16591564.0,,,64027958.0
2015.0,16545460.0,,,64300821.0
2016.0,16495142.0,,,64468792.0
2017.0,16439647.0,,,64639133.0
2018.0,16409328.0,,,64844037.0
2019.0,16389592.0,,,65096768.0
2020.0,16356720.0,,,65269154.0
2021.0,16355063.0,,,65450219.0
2022.0,16348138.0,,,65646837.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1946.0,3792653.0,,,40125230.0
